AH,AAE,ALG,0,738 ATR 736
AH,AAE,CDG,0,738
AH,AAE,IST,0,738
AH,AAE,LYS,0,738
AH,AAE,MRS,0,738
ZI,AAE,MRS,0,319
AH,AAE,ORN,0,ATR
AH,AAE,ORY,0,736
ZI,AAE,ORY,0,319
BA,AAL,AAR,0,FRJ
DY,AAL,AGP,0,73H
DY,AAL,ALC,0,73H
AZ,AAL,AMS,0,E90
KL,AAL,AMS,0,EMJ F70
SK,AAL,ARN,0,S20
IB,AAL,BCN,0,320
VY,AAL,BCN,0,320
DX,AAL,BLL,0,SF3
SK,AAL,BLL,0,319
TK,AAL,BLL,0,319
DY,AAL,CPH,0,73H AT7
SK,AAL,CPH,0,320 319 CR2 CR9 321
TK,AAL,IST,0,319 738
DY,AAL,LGW,0,73H
BA,AAL,OSL,0,J31 FRJ
M3,AAL,OSL,0,SWM
SK,AAL,OSL,0,73H 73G
DY,AAL,PMI,0,73H
DX,AAL,SVG,0,SF3
IX,AAN,CCJ,0,738
NL,AAN,PEW,0,734
S7,AAQ,DME,0,320
SU,AAQ,LED,0,320 319
SU,AAQ,SVO,0,320 319
BA,AAR,AAL,0,FRJ
FR,AAR,AGP,0,738
BA,AAR,BMA,0,FRJ
SK,AAR,CPH,0,AT7 320 CR2
BA,AAR,GOT,0,FRJ
BA,AAR,OSL,0,FRJ
FR,AAR,PMI,0,738
FR,AAR,STN,0,738
CZ,AAT,URC,0,73G E90
GS,AAT,URC,0,E90
AD,AAX,POJ,0,AT4
FO,AAY,SAH,0,CR7
S7,ABA,DME,0,320
IOS,ABA,IKT,0,AN4
Y7,ABA,NSK,0,738
SU,ABA,SVO,0,320
W3,ABB,ABV,0,73G
W3,ABB,LOS,0,73G
B9,ABD,MHD,0,M82
IR,ABD,MHD,0,100 M82
EP,ABD,SYZ,0,100
B9,ABD,THR,0,M82
EP,ABD,THR,0,100
IR,ABD,THR,0,M82 100
AF,ABE,ATL,0,CRJ
DL,ABE,ATL,0,717
KL,ABE,ATL,0,CRJ
AA,ABE,CLT,0,CR9 CR7 CRJ
US,ABE,CLT,0,CR9 CR7 CRJ
DL,ABE,DTW,0,CRJ
G4,ABE,MYR,0,M80
UA,ABE,ORD,0,ER4 ERJ
G4,ABE,PGD,0,M80
AA,ABE,PHL,0,DH3
US,ABE,PHL,0,CRJ DH8
G4,ABE,PIE,0,M80 320
G4,ABE,SFB,0,320 M80
AA,ABI,DFW,0,ERD ER4 CRJ
US,ABI,DFW,0,ERD ER4
E2,ABJ,ACC,0,M82
EK,ABJ,ACC,0,77W
HF,ABJ,ACC,0,E70 319
ME,ABJ,ACC,0,332
MS,ABJ,ACC,0,738
S9,ABJ,ACC,0,143
SA,ABJ,ACC,0,332
AH,ABJ,ALG,0,738
HF,ABJ,BKO,0,319
L6,ABJ,BKO,0,73G
2J,ABJ,BOY,0,CRJ
LH,ABJ,BRU,0,332
SN,ABJ,BRU,0,332 333
UA,ABJ,BRU,0,332
AF,ABJ,CDG,0,772
AZ,ABJ,CDG,0,772
ET,ABJ,CKY,0,DH8
HF,ABJ,CKY,0,E70
AT,ABJ,CMN,0,738 73G
DN,ABJ,COO,0,320
ET,ABJ,COO,0,73W 752
L6,ABJ,COO,0,73G
DN,ABJ,DKR,0,320
HF,ABJ,DKR,0,319
KQ,ABJ,DKR,0,73W 738
HF,ABJ,DLA,0,319
E2,ABJ,FNA,0,M82
TK,ABJ,IST,0,739
HF,ABJ,LBV,0,319
ET,ABJ,LFW,0,DH8
